Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Angel,51.531945799999995,-0.0620807,Sushi Show,51.535351159672246,-0.10342334530603922,Sushi Restaurant
Angel,51.531945799999995,-0.0620807,Liman Kitchen,51.53344264551052,-0.11135447134620335,Mediterranean Restaurant
Angel,51.531945799999995,-0.0620807,Spices Indian Restaurant,51.533438266465815,-0.11015666614849157,Indian Restaurant
Angel,51.531945799999995,-0.0620807,Le Coq Epicer,51.53454,-0.104392,French Restaurant
Angel,51.531945799999995,-0.0620807,Little Viet Kitchen,51.533431010955724,-0.11075602047554127,Vietnamese Restaurant
Angel,51.531945799999995,-0.0620807,Afghan Kitchen,51.53576,-0.10297269,Afghan Restaurant
Angel,51.531945799999995,-0.0620807,Brother Marcus,51.53523548451827,-0.10356405096700497,Mediterranean Restaurant
Angel,51.531945799999995,-0.0620807,Kipferl,51.535149668837526,-0.10353741847043645,Austrian Restaurant
Angel,51.531945799999995,-0.0620807,Yipin China,51.53619926475249,-0.10709085650595764,Hunan Restaurant
Angel,51.531945799999995,-0.0620807,Wahaca,51.536011141429725,-0.10409587241688459,Mexican Restaurant
Angel,51.531945799999995,-0.0620807,Little Georgia,51.53434285570721,-0.11133233985507135,Caucasian Restaurant
Angel,51.531945799999995,-0.0620807,Chipotle Mexican Grill,51.53544302822645,-0.10372289298212989,Mexican Restaurant
Archway,51.565437100000004,-0.0620807,Hot Wok Kitchen,51.56492204508801,-0.1328213117563894,Asian Restaurant
Archway,51.565437100000004,-0.0620807,500 Italian Restaurant,51.56494488202024,-0.1328333955673981,Italian Restaurant
Archway,51.565437100000004,-0.0620807,The Sitara,51.56503488140031,-0.13302789660671688,Indian Restaurant
Archway,51.565437100000004,-0.0620807,Sushi Wa,51.56770612567367,-0.13895830261556405,Japanese Restaurant
Archway,51.565437100000004,-0.0620807,ll Mio Mosaic,51.56470076355026,-0.13516058723779936,Italian Restaurant
Archway,51.565437100000004,-0.0620807,Loving Hut,51.5650658957143,-0.1332305005508439,Vegetarian / Vegan Restaurant
Archway,51.565437100000004,-0.0620807,Archway Kebab Center,51.56511299821289,-0.13309391173965043,Kebab Restaurant
Balham,51.4456449,-0.0620807,Ciullosteria,51.447144,-0.148981,Italian Restaurant
Balham,51.4456449,-0.0620807,Indian Room,51.44342448118601,-0.15015355910708686,Indian Restaurant
Balham,51.4456449,-0.0620807,Tagine,51.44283777968726,-0.14940405586985553,Moroccan Restaurant
Balham,51.4456449,-0.0620807,The Honest Italian,51.442027134076895,-0.15393000784239885,Italian Restaurant
Balham,51.4456449,-0.0620807,Nando's,51.4458371,-0.1506027,Portuguese Restaurant
Balham,51.4456449,-0.0620807,Lamberts,51.44280287767682,-0.15332654559907685,English Restaurant
Balham,51.4456449,-0.0620807,Holy Cow,51.44737123728931,-0.1490120053415368,Indian Restaurant
Balham,51.4456449,-0.0620807,Megan’s On The Hill,51.443974,-0.150208,Restaurant
Balham,51.4456449,-0.0620807,Thali & Pickles,51.44314193725586,-0.15185420215129852,Indian Restaurant
Bankside,51.508132,-0.0620807,Swan at the Globe,51.508300156198516,-0.09650509851132029,Restaurant
Bankside,51.508132,-0.0620807,Nando's,51.50731817,-0.09247588,Portuguese Restaurant
Bankside,51.508132,-0.0620807,Wright Brothers Oyster & Porter House,51.505662,-0.091577,Seafood Restaurant
Bankside,51.508132,-0.0620807,Vapiano,51.50562510031321,-0.09756011231558914,Italian Restaurant
Bankside,51.508132,-0.0620807,'O ver,51.504846,-0.09405,Italian Restaurant
Bankside,51.508132,-0.0620807,La Tua Pasta,51.50566664207693,-0.09095830467525759,Italian Restaurant
Bankside,51.508132,-0.0620807,Casa do Frango,51.504752,-0.092908,Portuguese Restaurant
Bankside,51.508132,-0.0620807,Richard Haward's Oysters,51.50541222968203,-0.0910470950642226,Seafood Restaurant
Bankside,51.508132,-0.0620807,Caravan Bankside,51.50453327171197,-0.09691316619897597,Modern European Restaurant
Bankside,51.508132,-0.0620807,Porteña,51.50540875418928,-0.09100416010614616,Empanada Restaurant
Bankside,51.508132,-0.0620807,Elpiniki Cypriot Kitchen,51.50560274340781,-0.09081795608121829,Mediterranean Restaurant
Bankside,51.508132,-0.0620807,Applebee's,51.505119124722434,-0.09082128082449194,Seafood Restaurant
Bankside,51.508132,-0.0620807,Rabot 1745,51.50542421885417,-0.08986669746066742,Restaurant
Bankside,51.508132,-0.0620807,Le Marche Du Quartier,51.505454848589125,-0.09109861149283537,French Restaurant
